DateTime,AddedIPs,RemovedIPs
1612230766,57,67
1612237967,79,51
1612245162,40,31
1612249496,13,0
1612255245,24,39
1612255994,1,0
1612256696,6,0
1612259568,31,33
1612266787,41,24
1612271325,15,0
1612274204,4,41
1612275171,28,0
1612275883,3,0
1612280207,19,0
1612280924,0,41
1612281652,30,0
1612283804,1,0
1612284538,6,0
1612288124,33,51
1612296053,44,49
1612303252,42,42
1612310458,35,53
1612317894,45,72
1612324860,69,50
1612332293,46,0
1612339496,42,29
1612346691,34,73
1612353894,32,0
1612361158,39,25
1612369003,27,44
1612376207,38,98
1612383458,51,43
1612390602,44,40
1612397805,42,45
1612405005,50,69
1612412204,73,40
1612419404,53,33
1612426603,38,32
1612433837,37,31
1612441015,50,38
1612448217,48,35
1612449886,3,0
1612455403,35,0
1612462606,49,32
1612470046,38,69
1612477242,41,45
1612485177,32,53
1612488044,9,0
1612493323,59,74
1612500523,78,52
1612507719,48,1118
1612513481,28,45
1612520720,66,22
1612527884,52,13
1612535092,35,0
1612542281,50,111
1612549483,59,38
1612556697,57,84
1612563881,59,40
1612571081,45,0
1612578281,48,65
1612585486,85,75
1612593432,53,90
1612600608,43,78
1612607845,78,26
1612615004,54,38
1612622204,46,38
1612629404,38,34
1612636337,39,35
1612643563,45,125
1612648822,45,0
1612651687,23,33
1612658918,35,46
1612666084,50,66
1612673527,88,63
1612680724,43,74
1612687927,49,27
1612695370,50,62
1612702598,48,32
1612709322,37,50
1612716771,56,40
1612718924,7,0
1612723989,58,32
1612731162,41,103
1612738377,43,54
1612745565,40,87
1612752793,64,60
1612760696,74,32
1612767890,46,20
1612775093,46,36
1612782291,50,41
1612789488,43,36
1612796449,51,25
1612803649,76,0
1612811563,53,95
1612818521,62,45
1612825428,60,46
1612832572,46,57
1612833181,9,0
1612835164,2,0
1612836522,21,0
1612838204,22,0
1612839786,10,64
1612842340,31,0
1612845162,47,0
1612845883,5,0
1612848040,0,44
1612852361,50,0
1612853086,6,0
1612860520,34,33
1612867967,38,108
1612874686,46,24
1612882601,45,43
1612889327,63,35
1612896858,59,48
1612903686,54,35
1612911403,48,52
1612918624,48,28
1612925800,66,71
1612932726,61,87
1612939926,52,92
1612947128,45,32
1612954333,59,0
1612961770,55,80
1612969249,42,36
1612976694,43,43
1612983896,67,53
1612990609,38,51
1612998294,46,43
1613005459,57,86
1613012890,70,62
1613020090,70,47
1613027288,40,39
1613034508,36,189
1613041692,73,48
1613048887,51,46
1613056360,54,50
1613063802,71,44
1613071001,65,57
1613078204,58,66
1613085426,49,48
1613092600,41,90
1613094044,11,0
1613098362,42,0
1613099805,0,66
1613101244,32,0
1613107722,46,28
1613112284,43,0
1613116332,15,35
1613122330,46,30
1613123292,27,0
1613124085,1,0
1613126892,27,0
1613129081,0,32
1613129768,26,0
1613135790,36,41
1613136487,5,0
1613137214,14,0
1613142526,44,0
1613143969,7,40
1613144717,1,0
1613147576,25,0
1613150683,0,40
1613152125,36,0
1613152928,3,0
1613157884,10,41
1613158608,35,0
1613159567,31,0
1613161020,16,0
1613162446,1,0
1613166771,22,59
1613167497,2,0
1613168202,22,0
1613173241,27,27
1613175405,21,0
1613181164,51,0
1613188387,78,60
1613196288,44,110
1613203494,34,0
1613210932,42,162
1613217401,63,42
1613224602,36,35
1613231820,49,48
1613236125,2,10
1613238999,63,36
1613239961,2,0
1613243563,0,19
1613244284,0,32
1613246448,54,7
1613253682,43,46
1613261091,35,70
1613268526,42,145
1613275725,81,49
1613282923,51,33
1613290127,48,38
1613297326,61,0
1613304525,47,79
1613311966,46,41
1613319165,53,0
1613326369,50,55
1613327811,5,0
1613333563,43,89
1613340763,42,47
1613347964,53,48
1613355161,54,65
1613363083,71,57
1613370286,47,43
1613377482,43,28
1613384685,50,36
1613391972,51,33
1613399085,38,42
1613401961,9,0
1613406282,39,38
1613413245,65,0
1613418284,11,66
1613420438,33,52
1613427644,51,44
1613435083,44,52
1613442281,49,80
1613449721,86,62
1613456684,54,0
1613464103,37,88
1613471285,52,47
1613478522,50,50
1613479972,7,0
1613485722,43,0
1613487892,11,0
1613488602,0,3
1613489328,0,36
1613492962,44,39
1613493646,10,0
1613500844,44,0
1613501579,5,0
1613507052,42,93
1613508488,2,0
1613510649,6,0
1613515026,40,47
1613522444,38,52
1613523164,10,0
1613529405,49,86
1613536865,64,47
1613544048,51,34
1613546924,11,0
1613551411,28,35
1613553645,20,0
1613558703,31,34
1613565170,18,0
1613565901,42,0
1613570209,17,46
1613572607,27,0
1613578365,13,2
1613579082,0,56
1613580520,38,0
1613582687,15,0
1613586281,0,5
1613587022,0,45
1613587721,34,0
1613590604,17,6
1613594204,31,51
1613597803,19,0
1613602123,35,99
1613609320,26,0
1613616523,66,130
1613623724,72,47
1613630686,41,0
1613638129,36,24
1613645049,44,48
1613652725,43,42
1613658488,44,44
1613659926,7,0
1613666682,41,41
1613667901,5,0
1613669319,4,0
1613671492,1,0
1613672938,35,18
1613674370,5,31
1613675092,11,0
1613679400,0,13
1613681080,50,0
1613681833,6,37
1613686125,0,46
1613687083,41,0
1613688555,12,35
1613694520,32,0
1613695967,7,66
1613702212,43,0
1613702930,26,72
1613708649,63,0
1613712969,14,42
1613715848,29,0
1613717302,0,25
1613719448,9,0
1613723065,35,0
1613725224,20,28
1613730967,32,0
1613731700,0,30
1613732671,13,0
1613739392,57,35
1613740335,6,0
1613745612,33,8
1613747074,0,18
1613749206,17,0
1613752854,31,0
1613756406,14,32
1613758600,0,39
1613760728,42,0
1613762168,14,0
1613764354,0,5
1613765770,0,6
1613766734,0,33
1613767452,42,0
1613769846,9,0
1613772735,0,8
1613774171,26,0
1613775861,13,31
1613781129,0,25
1613781880,33,35
1613784247,11,0
1613787714,0,57
1613789799,59,0
1613792569,24,0
1613793415,0,24
1613794806,0,53
1613796313,47,0
1613799369,18,0
1613800858,0,15
1613804417,34,31
1613809450,9,6
1613810208,41,0
1613811916,0,18
1613813324,9,0
1613816921,0,9
1613818363,45,35
1613820524,13,0
1613821241,0,11
1613822691,0,38
1613825565,38,0
1613828452,18,0
1613830601,0,5
1613833492,39,30
1613834444,18,0
1613837323,0,11
1613839736,34,0
1613840462,0,31
1613842602,14,0
1613844122,1,0
1613845566,0,13
1613846201,0,47
1613846923,38,0
1613848364,19,0
1613852681,0,13
1613853403,0,43
1613854143,41,0
1613858448,12,0
1613859884,0,55
1613861320,37,0
1613862777,8,0
1613867653,0,29
1613869930,42,0
1613871524,3,0
1613872335,0,12
1613874488,0,45
1613875925,60,0
1613877398,17,0
1613881011,0,28
1613882439,0,49
1613883071,51,0
1613884600,14,0
1613889041,0,17
1613889851,28,0
1613890567,0,27
1613891357,0,9
1613892727,13,0
1613897563,31,0
1613899029,8,25
1613901936,0,5
1613905750,41,28
1613907164,11,0
1613910770,0,46
1613911730,26,0
1613914119,13,0
1613917030,0,8
1613918442,0,39
1613919159,31,0
1613920571,12,0
1613926360,15,17
1613927093,0,26
1613927813,38,0
1613931401,2,2
1613932364,0,4
1613934522,27,37
1613935238,23,0
1613936682,16,0
1613939805,28,12
1613941256,27,43
1613943403,7,0
1613945564,0,3
1613947005,0,52
1613950151,51,0
1613954004,3,0
1613956125,0,38
1613957806,52,0
1613959961,2,0
1613961647,0,68
1613963802,65,0
1613966693,11,0
1613968125,0,2
1613968845,0,78
1613971003,50,0
1613971724,13,0
1613975566,0,14
1613977722,30,25
1613979163,4,0
1613982043,0,14
1613984929,0,27
1613985641,31,0
1613987084,3,0
1613990684,0,49
1613992123,28,0
1613996477,0,16
1613997888,0,25
1614000765,81,0
1614004602,0,16
1614005325,0,34
1614006764,36,6
1614007487,7,0
1614014166,0,18
1614014887,47,0
1614015634,5,0
1614018731,0,32
1614020172,0,27
1614022326,49,33
1614024766,3,4
1614026927,0,5
1614028361,0,55
1614029115,40,0
1614030521,15,0
1614033646,0,8
1614035143,0,50
1614035798,32,0
1614036522,5,0
1614039884,3,0
1614044202,45,48
1614051135,71,81
1614058402,50,64
1614065800,42,54
1614072999,38,43
1614080200,43,19
1614087405,36,308
1614094600,41,46
1614101819,49,45
1614109480,41,46
1614116224,40,44
1614123404,42,56
1614130843,45,150
1614138043,93,47
1614145484,60,41
1614152931,44,39
1614160127,43,35
1614166851,36,36
1614174044,49,53
1614181247,54,31
1614189169,58,50
1614196370,66,40
1614203091,49,52
1614210287,28,51
1614217724,43,81
1614224922,85,63
1614232129,45,51
1614239323,37,0
1614246765,54,63
1614253966,35,35
1614261166,38,41
1614268364,51,49
1614275562,40,0
1614282762,50,48
1614289966,45,96
1614297892,38,38
1614305102,25,106
1614305801,24,0
1614310121,59,0
1614310839,43,0
1614312294,0,61
1614315902,40,0
1614318760,21,31
1614320924,16,0
1614328838,40,39
1614336038,44,31
1614343242,40,27
1614350207,36,34
1614357403,49,30
1614365319,71,49
1614372524,57,43
1614379720,49,51
1614386919,29,21
1614394123,67,0
1614401319,79,71
1614408041,46,156
1614415245,34,37
1614422442,51,51
